x y z yaw
0.585838 0.071782 -0.0271093 0.0363828
0.585347 0.0724573 -0.0274706 0.0363104
0.584947 0.0730172 -0.0277541 0.0362733
0.584515 0.0735972 -0.0280396 0.0362474
0.583989 0.0742811 -0.0283575 0.0362441
0.58356 0.0748181 -0.0286071 0.0362212
0.58312 0.0753425 -0.0288581 0.0361918
0.582595 0.0759327 -0.0291606 0.0361502
0.582184 0.0763925 -0.0294104 0.0361457
0.581775 0.076864 -0.0296773 0.0361295
0.594298 0.0699727 -0.0274242 0.0358811
0.595058 0.0698805 -0.027469 0.0359041
0.595848 0.0698101 -0.0275054 0.0359504
0.596804 0.0697602 -0.0275458 0.0359877
0.597559 0.069742 -0.0275909 0.03599
0.598339 0.0697308 -0.0276524 0.0359608
0.599245 0.0697212 -0.0277238 0.035885
0.599977 0.069705 -0.0277778 0.0358496
0.587908 0.0673543 -0.0264515 0.0357223
0.587255 0.066988 -0.0263518 0.0357376
0.586718 0.0666639 -0.0262719 0.0357359
0.586167 0.066312 -0.0261842 0.0357381
0.585519 0.0658885 -0.0260818 0.0357569
0.584996 0.0655448 -0.026007 0.0357684
0.584461 0.0651967 -0.0259335 0.0357422
0.583843 0.06481 -0.0258451 0.0357571
0.598051 0.0691619 -0.0243397 0.0345467
0.599006 0.06934 -0.0241112 0.0345575
0.600146 0.0695646 -0.0238438 0.0345648
0.601066 0.0697505 -0.023632 0.0345529
0.602006 0.0699354 -0.0234194 0.0345067
0.603123 0.0701388 -0.0231659 0.0344639
0.60403 0.0702873 -0.02296 0.0344433
0.604947 0.070422 -0.0227565 0.0344532
0.606044 0.0705663 -0.022513 0.0344638
0.602426 0.0707483 -0.0247339 0.0367869
0.602957 0.0709208 -0.0247474 0.0367715
0.6036 0.0711366 -0.0247636 0.0367731
0.604125 0.071322 -0.0247817 0.03678
0.604668 0.0715269 -0.0248025 0.0367637
0.605327 0.0717906 -0.0248268 0.036787
0.605866 0.0720148 -0.0248438 0.0367778
0.606426 0.0722525 -0.0248624 0.036786
0.603056 0.0575681 -0.0241957 0.0411538
0.603158 0.056347 -0.0241496 0.0411521
0.603261 0.0550405 -0.0241025 0.0411405
0.603375 0.0535028 -0.0240435 0.0411282
0.603465 0.0522348 -0.0239949 0.0411228
0.603557 0.0509091 -0.0239468 0.0411405
0.603665 0.0493261 -0.0238917 0.0411709
0.603753 0.0480599 -0.0238471 0.0411748
0.603847 0.0467457 -0.0237969 0.0411779
0.612349 0.0637296 -0.0270024 0.0407274
0.613232 0.0641814 -0.0272666 0.040709
0.614155 0.064661 -0.0275432 0.0406936
0.615261 0.0652381 -0.0278688 0.0406892
0.616157 0.065703 -0.0281293 0.0406707
0.617081 0.0661774 -0.0284013 0.0406748
0.618256 0.066768 -0.0287497 0.0406665
0.619183 0.0672249 -0.0290254 0.0406617
0.620288 0.0677611 -0.0293558 0.0406665
0.62515 0.0686356 -0.0261956 0.0407033
0.626652 0.069227 -0.0261528 0.0407279
0.628163 0.0698262 -0.026112 0.0407579
0.62949 0.0703583 -0.0260765 0.0407749
0.63086 0.0709145 -0.0260404 0.0407876
0.632512 0.0715927 -0.0259987 0.0408123
0.633839 0.0721414 -0.0259687 0.0408358
0.635215 0.0727112 -0.0259393 0.0408322
0.636883 0.0733998 -0.025905 0.0408138
0.631226 0.0784465 -0.0263465 0.0376899
0.63197 0.0794708 -0.0263562 0.0376853
0.632844 0.0806689 -0.0263733 0.0377132
0.633554 0.0816395 -0.0263893 0.0376992
0.634291 0.0826442 -0.0264067 0.0377111
0.635166 0.083837 -0.0264294 0.0377101
0.635871 0.084799 -0.0264509 0.0377066
0.636606 0.0858065 -0.026476 0.0377019
0.602428 0.0718321 -0.0284347 0.0370287
0.599792 0.0713139 -0.0286308 0.037026
0.597074 0.0707836 -0.0288342 0.0370118
0.59382 0.0701536 -0.0290825 0.0370075
0.59118 0.0696438 -0.029289 0.0370002
0.588479 0.0691181 -0.0295019 0.0369869
0.58521 0.0684747 -0.02976 0.0369825
0.582589 0.067953 -0.0299663 0.0369827
0.579849 0.0674029 -0.0301836 0.0369985
0.615465 0.0712333 -0.0215462 0.0385386
0.616382 0.0711126 -0.0209248 0.0385341
0.617336 0.0709878 -0.0202762 0.0385303
0.618451 0.070844 -0.0195154 0.0385077
0.619359 0.070729 -0.0188972 0.0384985
0.620303 0.0706125 -0.018258 0.0385172
0.621419 0.0704777 -0.0175032 0.0385312
0.622328 0.0703694 -0.0168885 0.0385501
0.602232 0.0852369 -0.0218043 0.0378973
0.600843 0.086827 -0.02175 0.0379245
0.59969 0.0881461 -0.0217073 0.0379285
0.598504 0.0895014 -0.0216632 0.0379248
0.59708 0.0911256 -0.0216091 0.0378973
0.595932 0.0924354 -0.021565 0.0378928
0.594741 0.093795 -0.0215209 0.0378882
0.593315 0.0954238 -0.0214703 0.0378698
0.59218 0.0967231 -0.0214308 0.0378662
0.601704 0.0992378 -0.0209203 0.0351738
0.6015 0.101042 -0.0208177 0.0351741
0.601332 0.102532 -0.0207374 0.0351884
0.601157 0.104066 -0.0206589 0.0351886
0.600948 0.105881 -0.02057 0.0351992
0.600776 0.107359 -0.0204995 0.0352032
0.600596 0.108894 -0.0204273 0.0351937
0.600386 0.110709 -0.0203468 0.0351894
0.606105 0.106252 -0.0208652 0.036654
0.606528 0.1071 -0.0208522 0.0366561
0.607029 0.108107 -0.0208365 0.0366587
0.607434 0.108923 -0.0208244 0.0366328
0.607851 0.109768 -0.0208134 0.0366407
0.608352 0.110782 -0.0208007 0.0366594
0.608757 0.111605 -0.0207912 0.0366549
0.609173 0.112451 -0.0207839 0.0366551
0.609675 0.113476 -0.0207794 0.036653
0.583263 0.112469 -0.0233886 0.0357827
0.581009 0.113173 -0.0236424 0.0357594
0.578371 0.113996 -0.023938 0.0357631
0.576219 0.114665 -0.0241795 0.0357727
0.57398 0.115361 -0.0244332 0.035768
0.571332 0.116182 -0.0247361 0.0357522
0.569175 0.11685 -0.0249843 0.0357383
0.566934 0.117545 -0.0252432 0.0357404
0.5643 0.118363 -0.0255495 0.0357544
0.603918 0.0889194 -0.0241621 0.0351374
0.605746 0.0866623 -0.0242627 0.0351241
0.607939 0.083959 -0.024383 0.035092
0.609713 0.0817713 -0.0244817 0.0350819
0.611544 0.0795139 -0.0245864 0.0350589
0.613731 0.0768105 -0.0247133 0.0350591
0.615491 0.0746328 -0.0248169 0.0350565
0.617314 0.0723728 -0.0249268 0.0350452
0.621312 0.0790242 -0.0185185 0.0359514
0.62311 0.077886 -0.0180015 0.0359517
0.624991 0.0766936 -0.0174612 0.0359529
0.627196 0.0752949 -0.016829 0.0359555
0.628997 0.0741545 -0.0163149 0.0359426
0.63089 0.0729576 -0.0157764 0.0359556
0.633108 0.0715575 -0.0151482 0.0359604
0.63491 0.0704211 -0.0146405 0.0359494
0.636799 0.0692317 -0.0141106 0.0359603
0.639091 0.0677874 -0.0134684 0.0359796
0.611192 0.0762152 -0.0190322 0.0367576
0.610402 0.0757908 -0.0190197 0.0367307
0.609462 0.0752858 -0.0190064 0.0367355
0.608703 0.0748769 -0.0189971 0.036732
0.607908 0.0744475 -0.0189905 0.0367293
0.606977 0.0739428 -0.0189871 0.0367467
0.606216 0.0735302 -0.0189859 0.0367628
0.605436 0.0731074 -0.0189847 0.0367515
0.612294 0.0726921 -0.0181417 0.0365997
0.612329 0.0723263 -0.0180608 0.0365924
0.612367 0.0719446 -0.0179783 0.0366053
0.612412 0.071498 -0.0178843 0.0366078
0.612448 0.0711331 -0.017809 0.036623
