dR dT
0.00798652 0.0837052
0.00678125 0.0480434
0.0363636 0.106222
0.00531501 0.0438504
0.0407316 0.132
0.00962147 0.040713
0.0116067 0.0410388
0.0397654 0.222833
0.0249657 0.181222
0.0167035 0.0484847
0.00692577 0.0384656
0.0120453 0.085311
0.0092043 0.117979
0.00643833 0.0553529
0.0287631 0.19478
0.0298996 0.388718
0.0137145 0.0652606
0.00459273 0.0354885
0.0149681 0.0344746
0.0104471 0.0490428
0.00612364 0.0406994
0.0233887 0.0434969
0.0584264 0.230066
0.0350343 0.0668004
0.0266554 0.123092
0.0156173 0.125653
0.011476 0.0404281
0.0123578 0.170335
0.00949874 0.10799
0.0179159 0.105803
0.00203456 0.0308324
0.0107247 0.02577
0.00761126 0.0447598
0.0142014 0.0418293
0.00428371 0.0304904
0.0066519 0.0602814
0.00396661 0.0161356
0.0192416 0.0757018
0.00598087 0.0169198
0.0161095 0.124743
0.00684961 0.0618496
0.0112979 0.109613
0.00333617 0.0923497
0.0249797 0.144533
0.003957 0.027867
0.00537837 0.0390411
0.0298874 0.0423828
0.0149896 0.107417
0.0150793 0.0456098
0.0103332 0.0415861
0.00895757 0.0734884
0.0357507 0.0196635
0.00513842 0.0218885
0.0107324 0.0258573
0.0158249 0.0215924
0.0127946 0.105279
0.0373246 0.0467616
0.00887323 0.0322657
0.0190658 0.0322047
0.00213412 0.0317367
0.00736225 0.0380178
0.0189217 0.0102704
0.00989461 0.0919918
0.0184919 0.0274963
0.00687736 0.122115
0.0337589 0.072475
0.00902115 0.0363108
0.0113604 0.0209658
0.00652555 0.0375683
0.0212518 0.0284914
0.0312911 0.213448
0.0100524 0.0832728
0.025132 0.220636
0.00540579 0.0196807
0.0053001 0.0549931
0.00617784 0.0166393
0.0165963 0.117954
0.0764252 0.457808
0.0116227 0.0669051
0.00453789 0.11131
0.00305672 0.0243907
0.0230565 0.0393757
0.0240743 0.0317294
0.0069632 0.102685
0.00504333 0.0290836
0.0233024 0.0387837
0.0378255 0.19268
0.017923 0.0419069
0.00538758 0.0491383
0.0435645 0.151442
0.0153452 0.163742
0.00751443 0.0303199
0.00407559 0.0332737
0.00882639 0.117029
0.00782484 0.0873412
0.0173975 0.128223
0.000903296 0.240426
0.00457059 0.0395947
0.00705613 0.0187129
0.00290293 0.0297839
0.0138831 0.0172096
0.0170111 0.0456849
0.01078 0.0820174
0.00749571 0.0942021
0.00657355 0.0528816
0.00241458 0.0227961
0.00259518 0.105449
0.0175985 0.080825
0.0171065 0.137718
0.00711894 0.0321669
0.0557436 0.3852
0.0104289 0.0935517
0.0216406 0.0424743
0.0178625 0.0909484
0.0179781 0.0483159
0.00488776 0.0590133
0.0148747 0.0214061
0.0100775 0.0444537
0.0127022 0.0598376
0.0280766 0.0917156
0.00825934 0.114423
0.00606438 0.0415125
0.00925027 0.0204217
0.00954562 0.0412123
0.0305259 0.17006
0.0239233 0.271832
0.0295995 0.156296
0.0185406 0.0762065
0.0582335 0.355543
0.00933591 0.0493153
0.055282 0.368583
0.0463136 0.276475
0.00786944 0.0416847
0.00815711 0.029389
0.00709987 0.104301
0.0163019 0.0970897
0.0111214 0.218286
0.0100963 0.0476901
