dR dT
0.063526 0.72607
0.0544869 0.3432
0.0166847 0.0506024
0.0400384 0.149171
0.0465469 0.46282
0.0506093 0.28109
0.0538585 0.432065
0.0401965 0.184714
0.128989 1.43002
0.0895309 0.374422
0.0329311 1.18307
0.0910176 0.67124
0.177976 1.45447
0.0900616 0.400987
0.0895309 0.786809
0.0476533 0.639269
0.0605818 0.308947
0.0770702 0.491162
0.083438 0.615278
0.064496 0.657734
0.179148 0.539899
0.101406 0.66818
0.124454 0.712773
0.0949572 0.906441
0.0635567 0.599329
0.0520277 0.697755
0.135233 0.155049
0.0865101 0.302965
0.0134489 0.199559
0.0668778 0.397201
0.0207879 0.370242
0.0389186 0.28469
0.0503819 0.555192
0.0148344 0.187302
0.131493 1.68956
0.0901053 0.64519
0.0504085 0.297076
0.0214242 0.441498
0.0441053 0.160833
0.0670828 0.427386
0.0326048 0.263777
0.00926821 0.111941
0.0891344 0.156089
0.0334585 0.161461
0.0366402 0.107477
0.0564188 0.339742
0.0118838 0.18698
0.0451102 0.573076
0.0436922 0.368646
0.0497144 0.52899
0.10272 0.490091
0.0479479 0.100032
0.0262055 0.301995
0.418026 1.28556
0.0724413 0.588246
0.0328838 0.257972
0.175091 1.59201
0.0612019 0.722137
0.105068 0.207302
0.262584 1.647
0.119291 0.539445
0.312088 1.27672
0.0792772 0.681314
0.150445 2.34172
0.111345 1.56206
0.18521 3.50109
0.199586 4.30733
0.384627 6.42217
0.194257 3.07951
0.0847011 0.732319
0.0960254 1.33109
0.216925 1.61678
0.133048 0.782435
0.0774123 0.45356
0.0670922 0.347652
0.0536199 1.19881
0.0634786 0.635449
0.00998368 0.159246
0.0719698 0.393983
0.037936 0.157515
0.0649381 0.743561
0.0299176 0.619365
0.0400121 0.325973
0.0915501 0.892368
0.0544801 0.75585
0.0921132 0.529251
0.0756631 0.8337
0.175991 0.943605
0.066239 0.804882
0.0569495 0.502802
0.0169622 0.835516
0.07848 0.952079
0.0283673 0.0306569
0.0737676 0.846552
0.0893545 0.575264
0.0374004 0.329281
0.0246363 0.0330632
0.0931941 0.708706
0.10963 0.542961
0.0389177 0.0589828
0.027791 0.0216317
0.0502004 0.576756
0.0404406 0.011905
0.0877665 0.468583
0.157751 0.497291
0.0251352 0.314928
0.0314472 0.978771
0.141438 1.38089
0.0365219 0.376523
0.0392602 0.0554251
0.038715 0.172791
0.0413476 0.530475
0.02636 0.601335
0.0509063 0.0740074
0.125104 0.766158
0.0139249 0.339
0.0353193 0.0371205
0.0469534 0.340139
0.074258 0.682067
0.0283598 0.292087
0.0452659 0.126447
0.041164 0.561782
0.0447038 0.115204
0.0760433 0.640961
0.0640465 0.155758
0.115278 0.137154
0.0109838 0.25389
0.00542625 0.14217
0.219705 0.633016
0.0925772 0.316981
0.0511137 0.730815
0.0300633 0.0391831
0.0649166 0.191691
0.0383495 0.020611
0.0824041 0.296075
0.159717 0.709769
0.085889 1.34966
0.144213 1.37652
0.0194857 0.600815
0.0527819 0.357059
0.114126 1.25989
0.0461001 0.336322
0.0150507 0.497168
0.11714 0.277825
0.0369104 0.0476991
0.257224 1.23435
0.0239989 0.0271278
0.0103575 0.304492
0.0529184 0.261743
0.0616234 1.29681
0.075233 0.466859
0.0231232 0.194976
0.0508046 0.330475
0.0552823 0.608285
0.133647 0.542949
0.0565167 0.230894
0.151695 1.00026
0.0798122 0.837195
0.0991505 0.556884
0.0346719 0.468925
0.0399341 0.299866
0.0391943 0.389182
0.17307 0.463598
0.0575482 0.184244
0.134257 2.38459
0.0684236 0.634842
0.107857 0.690963
0.0458268 0.412033
0.145531 0.728441
0.0451871 0.455325
0.554309 1.00606
0.311392 1.08589
0.0354354 0.158281
0.00325347 0.239494
0.0229072 0.195068
0.036616 0.121786
0.285846 0.162913
0.0411813 0.403913
0.028283 0.298681
0.214244 0.61396
0.0400438 0.966773
0.593349 1.43445
0.3283 0.545541
0.0709651 1.96713
0.171654 1.19215
0.101801 0.0876502
0.0788716 0.355548
0.0354907 0.382326
0.121215 0.551177
0.233075 1.17217
0.0649963 0.919257
0.0646137 1.01571
0.187093 0.730827
0.37841 0.911138
0.159626 1.13017
0.0406248 0.311089
0.0840809 0.0951014
0.594913 0.404308
0.786798 2.77053
0.0981586 0.158034
0.0356003 0.124729
0.0237068 0.157484
0.0449236 0.153384
0.153694 0.640793
0.0418934 0.417489
0.0802837 1.67612
0.0250445 0.509795
0.0241286 0.20698
0.0310403 0.399033
0.0335142 0.16194
0.0184182 0.127008
0.0375621 0.287781
0.100227 0.18221
0.0648753 0.701398
0.0371278 0.384896
0.0375054 0.539228
0.0691188 0.424383
0.0762203 1.24202
0.0123097 0.390375
0.0287675 0.596526
0.0510159 0.213012
0.136015 0.752827
0.0429461 0.504911
0.088306 0.633497
0.0260628 0.499954
0.0397789 0.211585
0.0281007 0.260615
0.040482 0.183445
0.0478478 0.274305
0.0697265 1.07367
0.091103 0.183339
0.0551191 0.526725
0.0415101 0.238972
0.0667311 0.497984
0.0942537 1.01322
0.017412 0.937561
0.123276 1.2523
0.0279052 0.367358
0.105359 1.21095
0.052999 0.644759
0.115065 1.61011
0.0792016 1.47881
0.116008 0.559333
0.0623864 0.464363
0.0322563 0.693309
0.184931 0.929679
0.0485367 0.240865
0.0599226 0.238598
0.122738 0.32527
0.172926 1.32735
0.0302458 0.0956828
0.0647644 0.36843
0.0562466 0.320056
0.134742 0.926658
0.118112 0.027967
0.0497843 0.287942
0.0401259 0.621598
0.099346 0.245937
0.102521 0.832729
0.0244443 0.263537
0.0646197 0.149868
0.0664991 0.187282
0.11158 0.582973
0.0885502 0.112121
0.0295754 0.80837
0.0322043 0.826267
0.0060634 0.0219739
0.0965407 0.19458
0.0167765 0.180243
0.0849385 0.650348
0.0111773 0.277204
0.00782047 0.200137
0.0533033 0.570878
0.071373 0.290402
0.111537 0.604799
0.082079 0.465824
0.0469025 0.144899
0.0352147 0.619013
0.0536435 0.352165
0.0292912 0.182616
0.0794999 0.857192
0.0847164 0.852644
0.0790752 0.295624
0.0321172 0.442571
0.0658039 0.554652
0.0318048 0.416688
0.0314749 0.252126
0.0881333 1.12367
0.00876567 0.327834
0.191262 0.790059
0.0971088 0.184701
0.0321034 0.576243
0.0217627 0.111839
0.0495084 1.12437
0.0944143 0.716009
0.0981799 0.555925
0.0798315 1.36663
0.133076 0.553499
0.0261586 0.738053
0.0755243 0.282524
0.0508038 0.73107
0.18804 2.06552
0.101963 1.28643
0.100657 0.297135
0.110102 0.724876
0.0925665 0.386948
0.0617369 0.241077
0.0356141 0.00748514
0.0225354 0.0349288
0.0244363 0.529558
0.0269014 0.137285
0.03759 0.505371
0.0688066 0.313534
0.0716937 0.362877
0.0477632 0.245
0.0818746 0.559336
0.0656274 0.204768
0.0392535 0.166509
0.0656958 0.239134
0.0924517 1.40417
0.0342934 0.372322
0.0321224 0.10421
0.0579777 0.233354
0.0579669 0.426095
0.0263256 0.192522
0.0445989 0.0913057
0.0119453 0.119928
0.0736442 0.115111
0.0238326 0.594465
0.0830934 0.199905
0.0497185 0.109925
0.0402751 0.181902
0.0506518 0.0435969
0.0789607 0.168173
0.0325655 0.356649
0.0281621 0.169017
0.00754976 0.141021
0.0523015 0.151351
0.0704448 0.153548
0.117301 0.389403
0.0512646 0.366775
0.108667 1.10984
0.0484271 0.579754
0.141271 0.268752
0.0414446 0.41374
0.0696125 0.452939
0.108298 0.507856
0.0124164 0.547153
0.203757 1.13986
0.0228695 0.165612
0.245684 0.565619
0.0996132 1.54046
0.275244 0.726273
0.117307 0.833296
0.160934 0.347561
0.143083 0.194813
0.0401895 0.732315
0.121701 0.439525
0.0976787 1.36569
0.0791402 1.8806
0.0620051 0.608356
0.0196325 0.201735
0.0806666 0.271427
0.0385261 0.76589
0.132969 0.38956
0.0319832 0.440883
0.0511537 0.337022
0.160353 0.401462
0.0549493 0.25596
0.0145947 0.461458
0.0226055 0.202228
0.0923312 1.50829
0.0652107 0.481019
0.0174857 0.176114
0.0486843 0.436723
0.0705333 0.469024
0.0770513 0.428595
0.0322375 0.543146
0.115255 0.295139
0.0903189 1.13781
0.0347331 0.00907849
0.247296 0.179792
0.108005 0.568193
0.144165 0.270196
0.211171 0.366745
0.021962 0.0812512
0.0454034 0.290464
0.097152 0.528293
0.0340038 0.164131
0.157704 1.81665
0.0490503 0.367675
