x y z yaw
27.626099 -118.858261 3.094329 -2.697503
27.275450 -118.978310 3.116716 -2.748883
26.918419 -119.110107 3.120913 -2.797328
26.584532 -119.202629 3.111556 -2.833107
26.255783 -119.299393 3.160819 -2.864895
25.913141 -119.401138 3.123835 -2.885205
25.528147 -119.508911 3.165690 -2.892442
25.141897 -119.601089 3.168021 -2.898673
24.746740 -119.702194 3.188145 -2.907182
24.376062 -119.780312 3.169047 -2.912898
24.038263 -119.851898 3.172803 -2.918309
23.682415 -119.963730 3.143576 -2.926332
23.013596 -120.071495 3.206664 -2.949757
22.349735 -120.242134 3.044201 -2.958967
22.043804 -120.275299 3.154084 -2.949770
21.417906 -120.392120 3.185163 -2.941786
21.062889 -120.476280 3.179273 -2.937736
20.725912 -120.538673 3.214694 -2.933353
20.396257 -120.615654 3.195405 -2.931375
20.051622 -120.682823 3.190994 -2.927156
19.673822 -120.775688 3.221585 -2.923629
19.332527 -120.850067 3.221776 -2.920719
18.989332 -120.937508 3.200408 -2.917396
18.610910 -121.032417 3.207465 -2.914997
18.215744 -121.116058 3.256810 -2.916793
17.861347 -121.202301 3.232246 -2.922198
17.492725 -121.281029 3.244343 -2.930635
17.128063 -121.346703 3.225020 -2.938354
16.705437 -121.438103 3.237107 -2.946081
16.307945 -121.502312 3.249207 -2.954545
15.931452 -121.570679 3.249607 -2.959064
15.496445 -121.654633 3.257716 -2.965353
15.091530 -121.719086 3.256766 -2.971911
14.679698 -121.801758 3.274591 -2.977773
14.264767 -121.865601 3.264690 -2.985222
13.853774 -121.934982 3.265554 -2.991942
13.447688 -121.999611 3.269280 -3.000073
13.050330 -122.030640 3.291193 -3.014845
12.649165 -122.090187 3.270704 -3.023315
12.212037 -122.148865 3.271467 -3.033460
11.763654 -122.179146 3.253777 -3.043081
11.359814 -122.229340 3.277850 -3.050825
10.956494 -122.251350 3.266655 -3.057701
10.578544 -122.287476 3.277872 -3.060915
10.194448 -122.322586 3.278939 -3.059061
9.782376 -122.359032 3.274032 -3.057777
9.401283 -122.396286 3.285015 -3.054128
9.016351 -122.441261 3.274244 -3.054091
8.646557 -122.456490 3.295709 -3.054448
8.276805 -122.499344 3.280740 -3.055899
7.923243 -122.534538 3.306063 -3.055698
7.542854 -122.564957 3.282339 -3.055519
7.171611 -122.601212 3.300387 -3.055667
6.788865 -122.640900 3.300871 -3.057367
6.412765 -122.683250 3.302716 -3.057996
6.014197 -122.715881 3.302607 -3.058087
5.597977 -122.745010 3.292308 -3.061069
5.229505 -122.772919 3.309140 -3.062678
4.852119 -122.807030 3.311554 -3.063706
4.482898 -122.829216 3.306615 -3.066385
4.084146 -122.865051 3.296893 -3.067031
3.689533 -122.897110 3.314114 -3.068193
3.316812 -122.918159 3.319758 -3.070891
2.918980 -122.961899 3.319901 -3.072551
2.538409 -122.985863 3.321474 -3.074854
2.193284 -123.007210 3.322811 -3.077241
1.820525 -123.034973 3.322879 -3.077643
1.449363 -123.067215 3.335829 -3.080344
1.096267 -123.091789 3.334547 -3.081407
0.729638 -123.108780 3.307056 -3.082240
0.375006 -123.132362 3.341452 -3.084009
0.028122 -123.154922 3.337864 -3.085643
-0.347221 -123.168152 3.325263 -3.085572
-0.770696 -123.196930 3.346414 -3.087695
-1.199876 -123.217331 3.345135 -3.085839
-1.598474 -123.251854 3.362199 -3.084862
-2.000289 -123.270576 3.349186 -3.083473
-2.439741 -123.297470 3.360069 -3.079854
-2.884817 -123.340240 3.375364 -3.079195
-3.335833 -123.368103 3.383684 -3.077092
-3.771703 -123.404510 3.394584 -3.075671
-4.189582 -123.421318 3.399615 -3.074018
-4.594574 -123.450287 3.398080 -3.071449
-5.008927 -123.480865 3.411380 -3.065711
-5.420001 -123.518425 3.418674 -3.058342
-5.834227 -123.568848 3.419016 -3.051872
-6.251508 -123.602768 3.421237 -3.045017
-6.668202 -123.658531 3.430781 -3.043028
-7.083505 -123.705574 3.459231 -3.043369
-7.496273 -123.741188 3.453991 -3.043907
-7.930546 -123.787170 3.455550 -3.043860
-8.352348 -123.825600 3.467843 -3.044765
-8.786260 -123.872200 3.469774 -3.045351
-9.218181 -123.913605 3.482345 -3.046984
-9.649692 -123.949379 3.498793 -3.047600
-10.096731 -124.006584 3.503218 -3.048839
-10.532217 -124.039001 3.509475 -3.051580
-10.939258 -124.077606 3.513767 -3.051805
-11.337333 -124.113983 3.505803 -3.053279
-11.713382 -124.145294 3.538105 -3.053493
-12.136103 -124.198441 3.553332 -3.053598
